[
20	 , 26316	 , 50	 , -0.37452660753861355, 
20	 , 26700	 , 50	 , -0.37452660753861355, 
20	 , 26970	 , 50	 , -0.05611804488195714, 
20	 , 27204	 , 50	 , -4.0626340314517595, 
50	 , 65898	 , 50	 , -0.2551942487908031, 
50	 , 67446	 , 50	 , -0.5647470701549273, 
50	 , 67932	 , 50	 , -0.018866173152295346, 
50	 , 68400	 , 50	 , -0.3551233014348525, 
50	 , 67938	 , 50	 , -0.06950403421261983, 
50	 , 67098	 , 50	 , -0.0063877388691813775, 
50	 , 67032	 , 50	 , -0.11388486552648389, 
50	 , 67908	 , 50	 , -0.002578100743294404, 
50	 , 68520	 , 50	 , -0.07475091579195153, 
50	 , 67386	 , 50	 , -0.09693932256799809, 
50	 , 66666	 , 50	 , -0.046227414448149116, 
50	 , 67800	 , 50	 , -0.0031291234947149007, 
50	 , 67914	 , 50	 , -0.008710658269256662, 
50	 , 68124	 , 50	 , -0.016485503767492395, 
50	 , 66228	 , 50	 , -2.3140339612848435, 
50	 , 67122	 , 50	 , -0.0026902820155848945, 
50	 , 67398	 , 50	 , -0.08652327708258534, 
50	 , 66906	 , 50	 , -0.025082284634963422, 
50	 , 67854	 , 50	 , -0.007541266236386231, 
50	 , 67716	 , 50	 , -0.0622112434492196, 
50	 , 67920	 , 50	 , -0.16034915752439513, 
50	 , 68514	 , 50	 , -0.09675639004446614, 
50	 , 67632	 , 50	 , -0.26405000133703577, 
50	 , 67704	 , 50	 , -0.6396789299354475, 
50	 , 68370	 , 50	 , -0.9357538184739522, 
50	 , 67608	 , 50	 , -0.15838783286894748, 
50	 , 68598	 , 50	 , -0.21470409159175954, 
50	 , 66930	 , 50	 , -0.18980315658672262, 
50	 , 67596	 , 50	 , -0.016436520606091312, 
50	 , 67632	 , 50	 , -0.008323745750654341, 
50	 , 66912	 , 50	 , -0.09759312002412779, 
50	 , 66648	 , 50	 , -0.08747270810290331, 
50	 , 67890	 , 50	 , -0.027638433160323994, 
50	 , 67128	 , 50	 , -0.09786531346563695, 
50	 , 68016	 , 50	 , -0.13186944280279222, 
50	 , 68172	 , 50	 , -0.012265161465243438, 
50	 , 67956	 , 50	 , -0.3058747011014601, 
50	 , 66648	 , 50	 , -0.19886368051112407, 
50	 , 66984	 , 50	 , -0.3742523804199291, 
50	 , 67728	 , 50	 , -0.02600233872880673, 
100	 , 134538	 , 50	 , -4.167709356598706E-5, 
100	 , 136440	 , 50	 , -0.017844761938506936, 
100	 , 135768	 , 50	 , -1.4900821173919427E-4, 
100	 , 135438	 , 50	 , -0.004647803874011673, 
100	 , 133836	 , 50	 , -0.09090110710109749, 
100	 , 133698	 , 50	 , -2.9246880071580776E-7, 
100	 , 134814	 , 50	 , -9.139065849246334E-4, 
100	 , 134544	 , 50	 , -0.12569562196313952, 
100	 , 135486	 , 50	 , -0.34656448540242063, 
100	 , 136380	 , 50	 , -0.11739910717885467, 
100	 , 135864	 , 50	 , -0.010050311159047705, 
100	 , 135948	 , 50	 , -0.037503802851620936, 
100	 , 136254	 , 50	 , -0.24191260853845528, 
100	 , 135780	 , 50	 , -0.09276845611033815, 
100	 , 134178	 , 50	 , -0.1213884888347748, 
100	 , 133692	 , 50	 , -0.3780632762898886, 
100	 , 135600	 , 50	 , -0.1222390877603251, 
100	 , 135144	 , 50	 , -0.01909719674304914, 
100	 , 136188	 , 50	 , -0.07119366764677933, 
100	 , 135438	 , 50	 , -1.593410160826428E-4, 
100	 , 132780	 , 50	 , -0.04307210480045724, 
100	 , 132864	 , 50	 , -0.15127457257823665, 
100	 , 134388	 , 50	 , -0.09481914868928441, 
100	 , 135024	 , 50	 , -0.035622815883462625, 
100	 , 134952	 , 50	 , -0.24112872517275108, 
100	 , 135414	 , 50	 , -0.0428295141223921, 
100	 , 135918	 , 50	 , -0.003175147314400896, 
100	 , 135252	 , 50	 , -0.05436790545092284, 
100	 , 137514	 , 50	 , -0.11966152153575965, 
100	 , 135870	 , 50	 , -0.017355572166899015, 
