[
100	 , 52574	 , 8	 , 14	 , -0.00451, 
100	 , 53842	 , 3	 , 14	 , -2.2E-4, 
100	 , 54534	 , 1	 , 15	 , -0.00577, 
100	 , 54262	 , 7	 , 14	 , -3.2E-4, 
100	 , 52922	 , 0	 , 14	 , -0.00639, 
100	 , 52948	 , 6	 , 14	 , -0.00997, 
100	 , 55616	 , 4	 , 15	 , -0.00326, 
100	 , 51358	 , 5	 , 14	 , -0.00611, 
100	 , 55132	 , 8	 , 14	 , -0.00973, 
100	 , 52526	 , 8	 , 13	 , -4.2E-4, 
100	 , 55286	 , 6	 , 15	 , -0.0029, 
100	 , 55674	 , 8	 , 14	 , -2.8E-4, 
100	 , 54832	 , 8	 , 14	 , -0.00368, 
100	 , 52320	 , 5	 , 14	 , -0.00314, 
100	 , 52274	 , 2	 , 14	 , -0.18711, 
100	 , 51858	 , 7	 , 14	 , -0.00449, 
100	 , 55532	 , 11	 , 14	 , -0.0114, 
100	 , 54430	 , 2	 , 15	 , -8.4E-4, 
100	 , 54282	 , 3	 , 15	 , -7.2E-4, 
100	 , 53354	 , 6	 , 14	 , -0.00527, 
100	 , 54948	 , 2	 , 15	 , 0.0, 
100	 , 53774	 , 1	 , 15	 , -7.9E-4, 
100	 , 56312	 , 8	 , 14	 , -0.00859, 
100	 , 56536	 , 8	 , 14	 , -5.0E-5, 
100	 , 51422	 , 7	 , 13	 , -8.3E-4, 
100	 , 55666	 , 7	 , 15	 , -0.00288, 
100	 , 52716	 , 6	 , 14	 , -1.6E-4, 
100	 , 52348	 , 1	 , 14	 , -0.09642, 
100	 , 54228	 , 7	 , 14	 , -0.00322, 
100	 , 52424	 , 5	 , 14	 , -0.00634, 
100	 , 52606	 , 5	 , 14	 , -0.00875, 
100	 , 54016	 , 1	 , 15	 , -3.0E-5, 
100	 , 54432	 , 3	 , 15	 , -0.01295, 
100	 , 52228	 , 5	 , 14	 , -0.01751, 
100	 , 51556	 , 6	 , 14	 , -0.05067, 
100	 , 53114	 , 6	 , 13	 , -0.18132, 
100	 , 52318	 , 7	 , 14	 , 0.0, 
100	 , 53640	 , 9	 , 14	 , -0.00611, 
100	 , 54544	 , 8	 , 14	 , -0.03267, 
100	 , 51956	 , 8	 , 14	 , -0.00281, 
100	 , 52930	 , 8	 , 14	 , -0.00184, 
100	 , 56544	 , 7	 , 14	 , -0.00372, 
100	 , 51216	 , 2	 , 14	 , -1.0E-4, 
100	 , 53012	 , 9	 , 14	 , -1.0E-5, 
100	 , 52542	 , 7	 , 14	 , -0.11722, 
100	 , 54006	 , 8	 , 13	 , -0.01626, 
100	 , 55080	 , 6	 , 15	 , -0.01712, 
